,시설명,"시(특별,광역)/도",시/군/구,도로명,위도,경도,정원,현원
118,평화의집,경기도,안양시,경수대로 905,37.39724645,126.93588,56,51
119,송암동산,경기도,시흥시,사미실90,37.3798891,126.8032255,29,22
120,파주보육원,경기도,파주시,술이홀로907번길,37.8645731,126.8678958,63,50
121,평화원,경기도,파주시,주락길 46,37.8645731,126.8678958,40,29
122,의정부영아원,경기도,의정부시,입석로 32번길 30,37.75699945,127.0209355,33,24
123,이삭의집,경기도,의정부시,망월로28번길 51-13,37.7381078,127.033929,70,52
124,광명보육원,경기도,양주시,장흥면 유원지로 406-94,37.7178949,126.9411504,27,1
125,한국보육원,경기도,양주시,장흥면 유원지로 286-84,37.7178949,126.9411504,48,21
126,신생보육원,경기도,안성시,금광면 북절골길 72,36.9972324,127.3175031,49,42
127,명륜보육원,경기도,의왕시,원터아랫길 70,37.38328925,126.9773686,50,30
128,꿈이 있는 마을,경기도,포천시,영북면 영북로 114번길 28,38.0783341,127.2750226,29,26
129,나너우리집,경기도,양평군,양평읍 미리내길,37.5119419,127.6388426,24,4
130,상생복지회 우리집,경기도,여주시,중부대로 2806-2,37.29937199,127.6182132,90,37
131,동두천아동센터,경기도,동두천시,장고갯로 138번길 16-13,37.90642526,127.0669601,41,30
132,애신아동복지센터,경기도,동두천시,방죽로 30,37.9030856,127.0605175,45,34
133,무법정사,경기도,용인시,처인구 양지면중부대로 2417번길 90-1,37.23471268,127.3027172,29,8
134,누리의집,경기도,여주시,양화로 186-18,37.23832783,127.5601927,29,15
135,믿음의집,경기도,여주시,가정긴골길 41-8,37.29785371,127.6866579,19,2
136,나사로 청소년의 집,경기도,양주시,남면 휴암로 365-80,37.8981314,126.9767358,40,40
137,애민보육원,강원특별자치도,춘천시,우두상리길 90,37.9074173,127.7426068,48,43
138,성애원,강원특별자치도,원주시,섭재삼보길 89,37.3177736,127.9877964,45,34
139,자신 보육원,강원특별자치도,원주시,육판길 1,37.356023,127.9575228,42,19
140,원주아동센터,강원특별자치도,원주시,태장둔치길149,37.3420996,127.9197603,50,41
141,심향영육아원,강원특별자치도,원주시,대덕길 133,37.42551,127.9382345,50,40
142,강릉보육원,강원특별자치도,강릉시,강변로 450,37.7603166,128.9111632,36,26
143,명동보육원,강원특별자치도,홍천군,석화로 85-8,37.6963282,127.889824,60,24
144,풍익홈,강원특별자치도,화천군,하남면 춘화로 3370,38.0665597,127.69311,57,11
145,진여원,충청북도,충주시,동량면 화암양목길 125,37.0024486,128.02885,48,38
